timestep,impact
548,17.10801400244236
549,17.292970523238182
550,17.215477272868156
551,17.132201444357634
552,17.484269082546234
553,17.485287837684155
554,18.24802228808403
555,17.524980627000332
556,17.507146164774895
557,17.470674008131027
558,17.623585790395737
559,17.309235960245132
560,17.14727358520031
561,17.306968614459038
562,17.27052417397499
563,17.269447803497314
564,17.67246700823307
565,18.228437423706055
566,17.664144292473793
567,17.31584356725216
568,17.387918569147587
569,17.25998244434595
570,17.326715499162674
571,17.942133456468582
572,17.394742369651794
573,16.953524604439735
574,17.166079938411713
575,17.288938269019127
576,18.304981768131256
577,17.234450235962868
578,17.21600730717182
579,17.268097668886185
580,17.608129262924194
581,16.819949433207512
582,17.234625086188316
583,17.104749158024788
584,17.08934360742569
585,17.480144381523132
586,17.98549622297287
587,17.194081351161003
588,17.5088155195117
589,17.26158480346203
590,17.43427600711584
591,17.1657135784626
592,17.347057975828648
593,17.398109309375286
594,17.594323836266994
595,18.11705507338047
596,17.444475512951612
597,17.270906563848257
598,17.492423847317696
599,17.584676325321198
600,17.05507205426693
601,17.20278326421976
602,17.32718576490879
603,17.50315235555172
604,18.023723423480988
605,17.34042575955391
606,17.206846445798874
607,17.197463393211365
608,17.38488018512726
609,18.216591954231262
610,17.345923244953156
611,17.178500525653362
612,17.659105226397514
613,17.804296135902405
614,17.18083645403385
615,17.363899648189545
616,17.510734111070633
617,17.41355612874031
618,17.165691688656807
619,17.488300815224648
620,18.051923155784607
621,17.24061893671751
622,17.491212233901024
623,17.584521293640137
624,16.92380678653717
625,16.94288620352745
626,17.300205022096634
627,17.47160930931568
628,18.260032415390015
629,17.41249345242977
630,17.340083718299866
631,17.507995277643204
632,17.985413670539856
633,17.93847407400608
634,16.355411358177662
635,16.62317095696926
636,16.736156404018402
637,16.067565888166428
638,16.508973360061646
639,15.503085050731897
640,15.40802294947207
641,15.502972293645144
642,15.731172747910023
643,15.842608839273453
644,15.968284904956818
645,16.30554309487343
646,16.401409424841404
647,16.894807174801826
648,17.278912723064423
649,15.919612795114517
650,15.163347244262695
651,15.490309804677963
652,15.935623452067375
653,16.033326625823975
654,16.47493863105774
655,15.188759841024876
656,15.21787566691637
657,15.226575136184692
658,15.488733872771263
659,15.710246361792088
660,15.982318483293056
661,16.344340350478888
662,17.112437188625336
663,16.426099702715874
664,16.69922636449337
665,17.32451421022415
666,15.679459191858768
667,15.835697568953037
668,15.689950451254845
669,16.01328932493925
670,16.339305981993675
671,17.264160692691803
672,15.42779939621687
673,15.21787566691637
674,15.254147808998823
675,15.188759841024876
676,15.456698648631573
677,15.693792305886745
678,16.16275718808174
679,16.510553173720837
680,17.424592033028603
681,16.972972184419632
682,17.38002336025238
683,15.989012263715267
684,15.409699268639088
685,17.75108791142702
686,17.665510892868042
687,17.6373083665967
688,17.676094323396683
689,18.33329349756241
690,17.85650909692049
691,18.495748817920685
692,17.536413863301277
693,18.263058796525
694,18.334785863757133
695,17.699288636446
696,17.283365480601788
697,17.073202058672905
698,17.369168236851692
699,17.0520231872797
700,17.06647615879774
701,17.231809332966805
702,17.38799510896206
703,17.395030304789543
704,17.562886111438274
705,18.69527703523636
706,17.687152665108442
707,17.36775253713131
708,17.45115464925766
709,17.65367455780506
710,18.19946950674057
711,17.44596429169178
712,17.34743459522724
713,17.164590552449226
714,17.73445373773575
715,18.0010969042778
716,17.484825402498245
717,17.451033875346184
718,17.851269781589508
719,17.610991030931473
720,17.39914231747389
721,17.676830023527145
722,17.81267422437668
723,17.284293178468943
724,17.3088391572237
725,17.528641253709793
726,17.281658239662647
727,17.14576542377472
728,17.37304313480854
729,17.387489713728428
730,17.72622610628605
731,18.608096420764923
732,17.481159828603268
733,17.43654804676771
734,17.76435825228691
735,17.203048527240753
736,17.051922045648098
737,17.302619352936745
738,17.32757343351841
739,17.48311272263527
740,18.685212910175323
741,17.503323435783386
742,17.351071625947952
743,17.415389586240053
744,17.35285982489586
745,18.023220658302307
746,17.636127837002277
747,17.60943467915058
748,17.777445927262306
749,18.458225548267365
750,17.667947947978973
751,17.750044777989388
752,17.758831679821014
753,17.283469438552856
754,17.294776782393456
755,17.346952825784683
756,17.152814269065857
757,17.51493611931801
758,18.51578015089035
759,17.39080622792244
760,17.38188449293375
761,16.87842805683613
762,16.86955027282238
763,17.00217631459236
764,17.105666503310204
765,17.501839831471443
766,18.66475197672844
767,17.375644266605377
768,17.59731824696064
769,17.795820981264114
770,17.395875461399555
771,17.297582671046257
772,17.311932153999805
773,17.28684851527214
774,17.265052139759064
775,18.3057359457016
776,17.552339389920235
777,17.272950008511543
778,17.312706649303436
779,17.165631771087646
780,16.817666113376617
781,17.07042321562767
782,17.48353411257267
783,18.3046695291996
784,17.357919350266457
785,17.336061388254166
786,17.596601732075214
787,17.654709815979004
788,17.373269490897655
789,17.364354498684406
790,17.50054644793272
791,17.85966496914625
792,18.370193243026733
793,17.599981732666492
794,17.473628170788288
795,17.22130984812975
796,17.350140526890755
797,17.80775538086891
798,17.34945870190859
799,17.31246756017208
800,17.051703490316868
801,17.321496054530144
802,17.314985617995262
803,17.71392957866192
804,18.452669084072113
805,17.880004048347473
806,17.67720176279545
807,17.322987586259842
808,16.942327231168747
809,17.13872141763568
810,16.94702372327447
811,16.915259018540382
812,17.491992689669132
813,17.644621819257736
814,17.372511856257915
815,17.32994082570076
816,17.36715242266655
817,17.353832319378853
818,17.457623474299908
819,17.899886339902878
820,18.414586544036865
821,17.83829392492771
822,17.8399571031332
823,17.806976556777954
824,18.07134822010994
825,17.171112686395645
826,17.360415741801262
827,17.498212218284607
828,17.944067418575287
829,18.44949072599411
830,17.491887599229813
831,17.31897184252739
832,17.282987128943205
833,17.253593638539314
834,17.601920992136
835,17.301729008555412
836,17.264066472649574
837,17.436060652136803
838,18.21870893239975
839,17.29790498688817
840,17.273746609687805
841,17.332324728369713
842,17.83935371041298
843,17.372718542814255
844,17.245915338397026
845,17.132259607315063
846,17.09555423259735
847,17.27224536985159
848,17.211801409721375
849,17.955926463007927
850,18.208017230033875
851,17.60417202115059
