traffic_state,green_phase_probability
Emergency,0.34987974
Emergency,0.3512472
Emergency,0.31980464
Emergency,0.2908167
Emergency,0.33734897
Emergency,0.33507144
Emergency,0.33482638
Emergency,0.3395321
Emergency,0.3393306
Emergency,0.33922797
Emergency,0.3324406
Emergency,0.2901926
Emergency,0.27566883
Emergency,0.35770524
Emergency,0.3502145
Emergency,0.33408982
Emergency,0.29277676
Emergency,0.30632925
Emergency,0.29023823
Emergency,0.35023093
Emergency,0.35898757
Emergency,0.35928294
Emergency,0.3587719
Emergency,0.3356571
Emergency,0.33798054
Emergency,0.3361034
Emergency,0.33482164
Emergency,0.30507156
Emergency,0.345841
Emergency,0.3179663
Emergency,0.30200034
Emergency,0.35542953
Emergency,0.35479733
Emergency,0.34183496
Emergency,0.33880433
Emergency,0.34773237
Emergency,0.3436334
Emergency,0.33814555
Emergency,0.34252375
Emergency,0.34548876
Emergency,0.34288222
Emergency,0.34590754
Emergency,0.3461629
Emergency,0.3359415
Emergency,0.3385797
Emergency,0.3387391
Emergency,0.3277076
Emergency,0.2910141
Emergency,0.32935247
Emergency,0.3149353
Emergency,0.3406363
Emergency,0.33962068
Emergency,0.33945122
Emergency,0.3339347
Emergency,0.28471917
Emergency,0.33259866
Emergency,0.3107131
Emergency,0.29255527
Emergency,0.33546928
Emergency,0.33150768
Emergency,0.3066701
Emergency,0.34501976
Emergency,0.3417767
Emergency,0.335354
Emergency,0.3027715
Emergency,0.3481798
Emergency,0.34669048
Emergency,0.34560516
Emergency,0.34370732
Emergency,0.34364915
Emergency,0.34604552
Emergency,0.34379336
Emergency,0.31157264
Emergency,0.2896311
Emergency,0.35657525
Emergency,0.35526612
Emergency,0.34482044
Emergency,0.33839053
Emergency,0.34084386
Emergency,0.34248638
Emergency,0.32684574
Emergency,0.28798616
Emergency,0.34092492
Emergency,0.34393343
Emergency,0.32491088
Emergency,0.29188603
Emergency,0.35907853
Emergency,0.35327023
Emergency,0.33788568
Emergency,0.3458455
Emergency,0.33506814
Emergency,0.27822015
Emergency,0.336747
Emergency,0.33611357
Emergency,0.331595
Emergency,0.30168003
Emergency,0.32564577
Emergency,0.29105645
Emergency,0.32994637
Emergency,0.33847803
Emergency,0.33905208
Emergency,0.29547653
Emergency,0.27903968
Emergency,0.3559965
Emergency,0.3342522
Emergency,0.2901689
Emergency,0.3311178
Emergency,0.3090964
Emergency,0.28206253
Emergency,0.3608348
Emergency,0.36000955
Emergency,0.34189212
Emergency,0.33891967
Emergency,0.3420472
Emergency,0.32668072
Emergency,0.2912084
Emergency,0.34730217
Emergency,0.34361047
Emergency,0.34292313
Emergency,0.34273747
Emergency,0.3458907
Emergency,0.32189044
Emergency,0.28048065
Emergency,0.3448846
Emergency,0.35135823
Emergency,0.34195408
Emergency,0.33220524
Emergency,0.28693655
Emergency,0.34582376
Emergency,0.34384298
Emergency,0.34348443
Emergency,0.3417727
Emergency,0.317917
Emergency,0.30004516
Emergency,0.34319466
Emergency,0.3442719
Emergency,0.34534553
Emergency,0.33881986
Emergency,0.32191077
Emergency,0.27308652
Emergency,0.34630343
Emergency,0.33892718
Emergency,0.33538392
Emergency,0.31083855
Emergency,0.29404253
Emergency,0.35935408
Emergency,0.3504535
Emergency,0.3397735
Emergency,0.33767682
Emergency,0.3349163
Emergency,0.33152184
Emergency,0.285727
Emergency,0.34291562
Emergency,0.33705416
Emergency,0.33799148
Emergency,0.3163839
Emergency,0.29467484
Emergency,0.35724956
Emergency,0.3588353
Emergency,0.33957198
Emergency,0.34168696
Emergency,0.33575574
Emergency,0.2997447
Emergency,0.34684983
Emergency,0.33795413
Emergency,0.34313688
Emergency,0.33187452
Emergency,0.3287582
Emergency,0.35651505
Emergency,0.3579019
Emergency,0.33944002
Emergency,0.3484172
Emergency,0.34583244
Emergency,0.33793616
Emergency,0.33550534
Emergency,0.29172134
Emergency,0.33958787
Emergency,0.34359446
Emergency,0.32962623
Emergency,0.3016816
Emergency,0.33888036
Emergency,0.34505585
Emergency,0.33827248
Emergency,0.34014636
Emergency,0.3451527
Emergency,0.3261314
Emergency,0.28701726
Emergency,0.34440494
Emergency,0.34345528
Emergency,0.3380341
Emergency,0.33858472
Emergency,0.32040372
Emergency,0.28534657
Emergency,0.3495707
Emergency,0.35829526
Emergency,0.3442204
Emergency,0.33253348
Emergency,0.27505764
Emergency,0.33415
Emergency,0.33215368
Emergency,0.32532388
Emergency,0.29376024
Emergency,0.35019296
Emergency,0.3427084
Emergency,0.34497893
Emergency,0.34599504
Emergency,0.3271519
Emergency,0.28444022
Emergency,0.32927057
Emergency,0.32460058
Emergency,0.33816352
Emergency,0.35829687
Emergency,0.35774615
Emergency,0.34211093
Emergency,0.34073168
Emergency,0.33610633
Emergency,0.2993344
Emergency,0.33995306
Emergency,0.34044796
