timestep,value,advantage
311,-17.452354431152344,0.021222472190856934
312,-17.76376724243164,0.24889639019966125
313,-17.172225952148438,0.05175771564245224
314,-17.15082550048828,0.06804479658603668
315,-17.149953842163086,0.06789209693670273
316,-17.381948471069336,0.06214992702007294
317,-17.601497650146484,0.24577602744102478
318,-16.9418888092041,0.10832525044679642
319,-16.938678741455078,0.10945358872413635
320,-17.28769302368164,0.021435067057609558
321,-17.31000328063965,0.016665220260620117
322,-17.075851440429688,0.05785974860191345
323,-17.471078872680664,0.03570207953453064
324,-17.90974998474121,0.3270680904388428
325,-17.58318519592285,0.0901014506816864
326,-17.571090698242188,0.19823956489562988
327,-17.302509307861328,0.01578681170940399
328,-17.15009117126465,0.07571996748447418
329,-16.861251831054688,0.1336367279291153
330,-16.855728149414062,0.13438692688941956
331,-17.117074966430664,0.05084860324859619
332,-17.307193756103516,0.03548835217952728
333,-17.296293258666992,0.011154145002365112
334,-17.265790939331055,0.02864551544189453
335,-17.846967697143555,0.13715697824954987
336,-18.093650817871094,0.4017466902732849
337,-17.375242233276367,0.04492778331041336
338,-17.22964096069336,0.04549936205148697
339,-17.216480255126953,0.03187984228134155
340,-17.312461853027344,0.027160879224538803
341,-17.258121490478516,0.021701432764530182
342,-17.25764274597168,0.01847226917743683
343,-17.017484664916992,0.03741711005568504
344,-17.027563095092773,0.045730672776699066
345,-17.00301170349121,0.06021939218044281
346,-16.987918853759766,0.06898056715726852
347,-16.95700454711914,0.07561028748750687
348,-16.967172622680664,0.0676131546497345
349,-16.932056427001953,0.07456965744495392
350,-16.928302764892578,0.07455320656299591
351,-16.923460006713867,0.07413832098245621
352,-16.91541862487793,0.07416053861379623
353,-16.9075870513916,0.07418224960565567
354,-17.274702072143555,0.06287914514541626
355,-17.54103660583496,0.24684348702430725
356,-17.180862426757812,0.15201468765735626
357,-17.17730712890625,0.15403889119625092
358,-16.88051414489746,0.13175104558467865
359,-16.889116287231445,0.11600630730390549
360,-17.108182907104492,0.04960140585899353
361,-17.294565200805664,0.012293592095375061
362,-17.047517776489258,0.05704885721206665
363,-17.00599479675293,0.09199286997318268
364,-16.963260650634766,0.10034770518541336
365,-17.61850929260254,0.09769110381603241
366,-17.666419982910156,0.29295092821121216
367,-17.226848602294922,0.03519289940595627
368,-17.053892135620117,0.02552342414855957
369,-16.789304733276367,0.031341008841991425
370,-16.791959762573242,0.05395817384123802
371,-16.785310745239258,0.05249296501278877
372,-16.778759002685547,0.05168772116303444
373,-16.786670684814453,0.02077125757932663
374,-17.660978317260742,0.21270227432250977
375,-17.550926208496094,0.31817954778671265
376,-17.127470016479492,0.1648150086402893
377,-16.70058822631836,0.08950944244861603
378,-17.24061393737793,0.01036505401134491
379,-17.46280860900879,0.2777103781700134
380,-17.395397186279297,0.12787915766239166
381,-17.26140785217285,0.24342404305934906
382,-16.6912899017334,0.08943131566047668
383,-17.037334442138672,0.12350760400295258
384,-17.009946823120117,0.1341293603181839
385,-17.00780487060547,0.12756305932998657
386,-17.563987731933594,0.010530248284339905
387,-17.59136199951172,0.013894684612751007
388,-17.53067398071289,0.015395939350128174
389,-17.42215347290039,0.02108065038919449
390,-17.646953582763672,0.1988081932067871
391,-17.27471351623535,0.08059608191251755
392,-17.251476287841797,0.07568393647670746
393,-17.257709503173828,0.18346434831619263
394,-16.95144271850586,0.11632887274026871
395,-16.944034576416016,0.10753163695335388
396,-17.312984466552734,0.04093043506145477
397,-17.304039001464844,0.01635424792766571
398,-17.047937393188477,0.06554540991783142
399,-17.253305435180664,0.048022665083408356
400,-17.41935920715332,0.014398112893104553
401,-17.188188552856445,0.03591667860746384
402,-17.127532958984375,0.06461125612258911
403,-17.124826431274414,0.041982799768447876
404,-17.083526611328125,0.07095737755298615
405,-17.072509765625,0.07414479553699493
406,-17.354951858520508,0.007809795439243317
407,-17.300691604614258,0.027197949588298798
408,-17.277856826782227,0.03021855652332306
409,-17.570682525634766,0.0428980216383934
410,-17.830476760864258,0.28212302923202515
411,-17.345964431762695,0.011973321437835693
412,-17.31955337524414,0.13642330467700958
413,-17.059473037719727,0.031394943594932556
414,-17.084033966064453,0.027491897344589233
415,-17.081626892089844,0.02623206377029419
416,-17.24009895324707,0.012115076184272766
417,-17.674169540405273,0.3053199052810669
418,-17.039146423339844,0.013082876801490784
419,-17.158735275268555,0.11405904591083527
420,-17.269258499145508,0.23223111033439636
421,-15.077512741088867,0.09010172635316849
422,-15.198488235473633,0.06718870252370834
423,-15.497849464416504,0.03642008453607559
424,-15.977851867675781,0.30164486169815063
425,-15.515411376953125,0.005851119756698608
426,-15.497827529907227,0.010392658412456512
427,-17.082834243774414,0.013024665415287018
428,-17.17725372314453,0.005484201014041901
429,-17.50180435180664,0.14856193959712982
430,-17.118335723876953,0.0538366362452507
431,-17.345979690551758,0.02522500604391098
432,-17.497173309326172,0.021848350763320923
433,-17.757286071777344,0.23380765318870544
434,-17.40713119506836,0.08579203486442566
435,-17.268983840942383,0.0849907398223877
436,-17.133033752441406,0.07969402521848679
437,-16.926803588867188,0.06821970641613007
438,-16.919845581054688,0.06775282323360443
439,-16.960094451904297,0.09267984330654144
440,-16.9036865234375,0.06868109107017517
441,-17.456941604614258,0.1115252822637558
442,-17.55035400390625,0.25077322125434875
443,-17.18705940246582,0.14507153630256653
444,-17.134761810302734,0.13507674634456635
445,-17.112346649169922,0.051765382289886475
446,-17.297731399536133,0.015124127268791199
447,-17.23948097229004,0.02412416785955429
448,-17.20887565612793,0.034419089555740356
449,-17.60603904724121,0.059868380427360535
450,-17.927648544311523,0.30968958139419556
451,-17.598474502563477,0.05794355645775795
452,-17.58455467224121,0.07686811685562134
453,-17.429903030395508,0.03999511897563934
454,-17.501968383789062,0.2433149814605713
455,-17.17750358581543,0.1863557994365692
456,-16.847583770751953,0.11034809052944183
457,-17.27834701538086,0.020269736647605896
458,-17.074556350708008,0.07142100483179092
459,-17.237979888916016,0.010528221726417542
460,-17.895051956176758,0.36515939235687256
461,-17.371929168701172,0.032119184732437134
462,-17.218669891357422,0.027208521962165833
463,-17.40358543395996,0.0065610408782958984
464,-17.448928833007812,0.17963525652885437
465,-17.44258689880371,0.06022019684314728
466,-17.71516227722168,0.32934436202049255
467,-16.823081970214844,0.01018555462360382
468,-16.780101776123047,0.05289850011467934
469,-16.77115821838379,0.05027596279978752
470,-17.529067993164062,0.18504585325717926
471,-17.529111862182617,0.3016068935394287
472,-17.024394989013672,0.14683644473552704
473,-17.264019012451172,0.011749863624572754
474,-17.497718811035156,0.2946205139160156
475,-17.026582717895508,0.00760573148727417
476,-17.165496826171875,0.12271435558795929
477,-17.657386779785156,0.28185611963272095
478,-17.003633499145508,0.1349296271800995
479,-16.96212387084961,0.1321859508752823
480,-17.33563232421875,0.03246554732322693
481,-17.427013397216797,0.01671081781387329
482,-17.319210052490234,0.03086269646883011
483,-17.910797119140625,0.06073615700006485
484,-18.132707595825195,0.280400812625885
485,-17.273515701293945,0.0879243016242981
486,-17.235307693481445,0.06918530911207199
487,-17.243934631347656,0.06418873369693756
488,-17.00037956237793,0.06322583556175232
489,-16.97202491760254,0.09095555543899536
